"","Source","Type","Session","Issue","Action","Vote","Last","First","Party","City","Role","District"
"29.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Taylor","Lena","D","Milwaukee","Senator",4
"31.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"34.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Wirch","Robert","D","Kenosha","Senator",22
"4.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE",NA,"Darling","Alberta","R","River Hills","Senator",8
"1.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Bewley","Janet","D","Ashland","Senator",25
"3.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Cowles","Robert","R","Green Bay","Senator",2
"6.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"9.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"11.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"13.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Larson","Chris","D","Milwaukee","Senator",7
"14.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"24.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Ringhand","Janis","D","Evansville","Senator",15
"25.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Risser","Fred","D","Madison","Senator",26
"26.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Roth","Roger","R","Appleton","Senator",19
"27.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"29.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Taylor","Lena","D","Milwaukee","Senator",4
"30.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"32.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"2.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
